NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
The Queen’s Dictat,Death|Soulblight Gravelords|Avengorii,,Lauka Vai,6,"24""","The Queen’s Dictat is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, friendly Avengorii Monsters are eligible to fight in the combat phase if they are within 6"" of that enemy unit instead of 3"", and they can move an extra 3"" when they pile in."
Dire Ultimatum,Death|Ossiarch Bonereapers|Mortis Praetorians,,Mir Kainan,4,"3""","Dire Ultimatum is a spell that has a casting value of 4 and a range of 3"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, if this unit is within 3"" of that enemy unit when that enemy unit is picked to fight, all attacks made with melee weapons by that enemy unit must target this unit. The range of this spell must be measured from the caster, even if an ability would allow you to measure it from elsewhere."
Cursed Reflection,Death|Soulblight Gravelords,,Vengorian Lord,5,"24""","Cursed Reflection is a spell that has a casting value of 5 and a range of 24"". If successfully cast, pick 1 friendly Soulblight Gravelords Monster wholly within range and visible to the caster. That unit can use The Hunger ability from the caster’s warscroll until your next hero phase."
Lycancurse,Death|Soulblight Gravelords|Vyrkos,,Belladamma Volga,7,"18""","Lycancurse is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. 

If any models in that unit were slain by this spell, before removing the last slain model, you can add 1 unit of Dire Wolves to your army. The number of models in the new unit must be equal to the number of models in the enemy unit that were slain by this spell. Set up the new unit within 3"" of the slain model’s unit, and then remove the slain model from play."
Under a Killing Moon,Death|Soulblight Gravelords|Vyrkos,,Belladamma Volga,6,"24""","Under a Killing Moon is a spell that has a casting value of 6 and a range of 24"". If successfully cast, until your next hero phase, if the unmodified hit roll for an attack made with a melee weapon by a friendly Vyrkos unit wholly within range of the caster is 6, that attack scores 2 hits on the target instead of 1. Make a wound roll and save roll for each hit."
Curse of Exsanguination,Death|Soulblight Gravelords,,Vampire Lord on Zombie Dragon,7,"18""","Curse of Exsanguination is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers 1 mortal wound. If that mortal wound is allocated to a model in that unit and the model is not slain by that mortal wound, roll a dice. On a 3+, that model suffers 1 mortal wound, and you can roll another dice if that mortal wound is allocated and the model is not slain. Keep rolling dice in this way until no mortal wound is caused, the mortal wound is negated or the model is slain."
Aethershock,Order|Stormcast Eternals|Thunderstrike|Hammers of Sigmar,,Domitan’s Stormcoven,8,,"This unit cannot attempt to cast this spell unless it is wholly within an aethercharged battlefield quarter. Aethershock is a spell that has a casting value of 8. If successfully cast, pick 1 unit within an aethercharged battlefield quarter that is visible to the caster. If you picked a friendly unit, the strike- first effect applies to that unit until the start of your next hero phase. If you picked an enemy unit, the strike-last effect applies to that unit until the start of your next hero phase."
Sudden Warp-portal,Chaos|Disciples of Tzeentch|Tzeentch|Cult of the Transient Form,,Ephilim the Unknowable,8,"18""","Sudden Warp-portal is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 friendly Disciples of Tzeentch unit wholly within range and visible to the caster, within 6"" of an objective and more than 3"" from all enemy units.

Remove that unit from the battlefield and set it up again anywhere on the battlefield more than 9"" from all enemy units and within 6"" of an objective. Units set up in this way cannot move in the following movement phase."
Shield of the Old Ones,Order|Seraphon,,Slann Starmaster,7,,"Shield of the Old Ones is a spell that has a casting value of 7. If successfully cast, the caster has a ward of 4+ against mortal wounds until your next hero phase."
Celestial Doom,Order|Seraphon,,Skink Starseer,7,"12""","Celestial Doom is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the end of your turn, ward rolls cannot be made for models in that unit."
Celestial Equilibrium,Order|Seraphon,,Slann Starmaster,6,,"Celestial Equilibrium is a spell that has a casting value of 6. If successfully cast, until the end of the phase, add 1 to casting rolls for friendly Wizards other than the caster."
Dark Mist,Death|Soulblight Gravelords|Legion of Blood,,Neferata,6,"12""","Dark Mist is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Legion of Blood unit wholly within range and visible to the caster. Ignore modifiers (positive and negative) to save rolls for attacks that target that unit until your next hero phase."
Metamorphosis,Sylvaneth|Order,,Alarielle the Everqueen,7,"16""","Metamorphosis is a spell that has a casting value of 7 and a range of 16"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll a number of dice equal to the unmodified casting roll. For each 3+, that unit suffers 1 mortal wound.

If a unit is destroyed by a mortal wound caused by this spell, before removing the last model in that unit from play, you can set up 1 Awakened Wyldwood terrain feature consisting of 1 scenery piece wholly within 12"" of that model and more than 3"" from all other models, terrain features and objectives, and add it to your army."
Mesmerise,Sons of Behemat|Ironjawz|Bonesplitterz|Kruleboyz|Big Waaagh!|Ogor Mawtribes,,Gobbapalooza (Braggit’s Bottle-snatchaz),6,"12""","Mesmerise is a spell that has a casting value of 6 and a range of 12"". Only this unit’s Boggleye knows this spell and can attempt to cast it. If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the start of your next hero phase, that unit cannot issue or receive commands."
Fungoid Cloud,Sons of Behemat|Ironjawz|Bonesplitterz|Kruleboyz|Big Waaagh!|Ogor Mawtribes,,Gobbapalooza (Braggit’s Bottle-snatchaz),6,"12""","Fungoid Cloud is a spell that has a casting value of 6 and a range of 12"". Only this unit’s Shroomancer knows this spell and can attempt to cast it. If successfully cast, until the start of your next hero phase, subtract 1 from hit rolls for attacks that target friendly Gloomspite Gitz units while they are wholly within range of this unit."
